,A,B,C,D,E,F,G,H,I,J,K,klasa
0,50.83541706492886,146.35538100384514,116.46280859953804,31.298227467698496,245.28944211139466,78.58122710756638,491.35703797193014,-75.34735642540376,-122.79947758328089,-251.79941061145814,78.00401209630158,3
1,-280.02769877817445,233.6785431940964,496.0821331953801,-196.32970455461532,342.16343530992276,83.87255318420046,49.608739092070834,-11.639969633983455,-33.414585694277335,-46.417961077816784,83.9864652501893,0
2,-282.224742692914,-418.90702291068555,489.37481252386317,-206.0594473200619,125.25676320319147,82.55049006512431,-83.94160389073045,-90.00233479164274,44.16041084578856,-34.13804208562132,84.96829221490603,4
3,-184.98167718304506,190.1266498826536,104.50444106763783,-342.95243539860553,189.61060041793527,80.09243036615132,431.0499760125914,262.74387104350444,107.78066975560736,-221.11675038916334,76.72883899032115,2
4,-132.73943255752803,115.04831782260132,288.62614856338513,-172.9925849863866,474.16170257907334,79.86266063474554,436.6939085388726,-31.39890735602043,7.391611365325968,-340.4388852859922,77.15004578130085,2
5,-281.22559827790315,-10.886863477492007,259.37811376592316,-106.99422545987969,460.6034673305468,84.31642082515178,63.905725640144254,113.63091016347025,-9.355500178564604,184.0877465534369,83.76266042464142,0
6,-286.1526654433337,24.275606252812068,254.44478284477694,-92.42582015448082,207.83468026130402,84.48203298299471,59.505680625836675,146.9956856011658,24.87246581684589,270.0920958547381,84.00428587644083,0
7,-248.4353513460187,-98.2821787183273,296.14824876553365,-261.3851514876691,292.0877688518436,80.73188574185228,-47.16543367398663,-91.74444615309741,109.08548271507237,-160.2630966347374,77.62027216517149,1
8,-136.2771839454341,-110.56837540922669,-92.95508681811043,-84.71535276685074,68.21535561533543,80.34765164742345,445.24178085398785,90.1947270748475,57.04562765492679,-88.57732508638617,76.13545947854759,2
10,-232.25677656692528,-13.450887252153763,456.4260268020546,-291.1677372631207,99.337612886632,80.27301400391273,-33.099500823683826,-190.63328223763628,57.96301699418434,-398.56060901712607,77.76847345573228,1
11,-285.8019658311588,95.80995320397855,411.7322696549975,-248.25250923280262,116.93281456098259,83.74205947858378,48.55723143663715,-3.0764343132226557,-149.74304074334768,-114.18488342008544,83.28822697448938,0
12,-265.0656403876486,-394.6326003043296,426.7780240851521,-114.3160890104972,178.21579434148836,82.64400006352896,-65.4866674532476,-98.23323636500079,-125.66081960079592,14.422804356492719,85.01153421390329,4
13,-281.1403159452128,41.42568686869518,390.6746655899261,-194.5338914476243,248.17401805893144,83.90292304592202,54.74997450047391,18.61984423960196,-77.44461297653078,-30.646533244534574,83.55307545439186,0
14,-276.2827678969328,243.30637295221976,334.68188682184115,-123.20328053349964,259.885391261999,82.82320090043319,-55.76959889061678,25.76972755559934,-154.27878018165538,107.48391516464136,85.04914083356975,4
15,-211.57804238748287,67.99494512536394,713.7648112884942,-262.3219204549689,320.9553228287676,80.00128501524028,-37.51940785283247,-358.65330087223276,38.39050717482904,-539.6726817143466,78.49629363201238,1
16,-245.90155674665948,-124.13681017000948,250.13822195514865,-265.0883322648804,189.30721483969342,80.66454171139402,-37.861517869464194,-79.11741999193359,100.78243043299237,-195.23564692529678,77.37343522230935,1
17,-319.9801165483467,28.20999681504543,338.7323390816939,-199.86755081556367,196.9024859593404,83.32350719899667,-128.08533527154958,54.396555871890286,10.522810030994634,367.2988841846345,85.10199120019095,4
18,-140.9398514028065,-26.27291342249175,110.52068971935184,-105.7984699845337,449.60568078854413,80.34033703830887,436.6880807116902,81.32994122507742,26.71158681678949,-92.3758879786625,77.1211545904656,2
19,-269.9318761598747,94.50060720686491,557.6442612632312,-178.89679818623398,507.2678976077168,82.43606830985891,-60.6282028988482,-82.80402669658372,-87.67595483977374,-93.55861081492377,85.4279675544085,4
