atrybut1,atrybut2,klasa
66,26,klasa 1
86,63,klasa 2
67,75,klasa 2
63,76,klasa 2
57,77,klasa 2
29,4,klasa 3
94,20,klasa 3
90,32,klasa 3
86,48,klasa 3
92,60,klasa 3
89,74,klasa 3
80,63,klasa 3
92,45,klasa 3
83,63,klasa 3
80,78,klasa 3
35,93,klasa 3
66,89,klasa 3
71,82,klasa 3
65,70,klasa 3
79,51,klasa 3
63,41,klasa 3
78,40,klasa 3
82,36,klasa 3
87,25,klasa 3
88,14,klasa 3
83,14,klasa 3
68,15,klasa 3
85,6,klasa 3
80,4,klasa 3
77,15,klasa 3
79,21,klasa 3
78,29,klasa 3
72,37,klasa 3
70,45,klasa 3
68,34,klasa 3
71,32,klasa 3
73,24,klasa 3
67,20,klasa 3
60,32,klasa 3
60,45,klasa 3
63,51,klasa 3
69,58,klasa 3
70,67,klasa 3
62,67,klasa 3
55,71,klasa 3
58,60,klasa 3
49,59,klasa 3
55,52,klasa 3
51,65,klasa 3
41,64,klasa 3
42,55,klasa 3
48,46,klasa 3
52,38,klasa 3
51,19,klasa 3
55,22,klasa 3
61,17,klasa 3
65,10,klasa 3
72,6,klasa 3
60,3,klasa 1
57,7,klasa 1
55,14,klasa 1
47,22,klasa 1
47,31,klasa 1
51,5,klasa 1
46,7,klasa 1
49,12,klasa 1
36,46,klasa 1
46,33,klasa 1
43,29,klasa 1
52,29,klasa 1
43,42,klasa 1
35,52,klasa 1
33,44,klasa 1
30,57,klasa 1
24,58,klasa 1
19,46,klasa 1
27,41,klasa 1
30,37,klasa 1
34,37,klasa 1
40,35,klasa 1
37,27,klasa 1
36,21,klasa 1
41,20,klasa 1
44,14,klasa 1
38,4,klasa 1
36,12,klasa 1
32,24,klasa 1
31,14,klasa 1
33,10,klasa 1
27,7,klasa 1
24,19,klasa 1
29,26,klasa 1
32,32,klasa 1
25,35,klasa 1
24,29,klasa 1
27,17,klasa 1
21,26,klasa 1
18,33,klasa 1
10,25,klasa 1
14,18,klasa 1
20,14,klasa 1
23,8,klasa 1
12,5,klasa 1
23,39,klasa 2
13,29,klasa 2
16,27,klasa 2
22,47,klasa 2
49,79,klasa 2
84,95,klasa 2
84,91,klasa 2
80,96,klasa 2
77,89,klasa 2
70,94,klasa 2
69,90,klasa 2
63,85,klasa 2
64,95,klasa 2
54,94,klasa 2
58,91,klasa 2
56,83,klasa 2
39,71,klasa 2
48,94,klasa 2
42,92,klasa 2
9,86,klasa 2
5,81,klasa 2
5,65,klasa 2
7,46,klasa 2
17,52,klasa 2
10,37,klasa 2
7,29,klasa 2
7,37,klasa 2
6,55,klasa 2
10,68,klasa 2
13,82,klasa 2
18,90,klasa 2
34,95,klasa 2
53,89,klasa 2
46,77,klasa 2
46,88,klasa 2
36,86,klasa 2
39,80,klasa 2
46,73,klasa 2
34,69,klasa 2
32,82,klasa 2
26,92,klasa 2
21,80,klasa 2
28,81,klasa 2
15,82,klasa 2
25,71,klasa 2
29,68,klasa 2
35,59,klasa 2
19,64,klasa 2
19,69,klasa 2
12,56,klasa 2
26,64,klasa 2
11,66,klasa 2
20,53,klasa 2
29,50,klasa 2
7,37,klasa 2
10,45,klasa 2
15,41,klasa 2
7,20,klasa 2
