atrybut1,atrybut2,klasa
74,81,klasa 2
61,15,klasa 2
33,42,klasa 2
12,7,klasa 3
70,95,klasa 3
59,62,klasa 3
47,47,klasa 1
46,49,klasa 1
43,57,klasa 1
39,61,klasa 1
44,54,klasa 1
44,60,klasa 1
40,56,klasa 1
40,52,klasa 1
42,45,klasa 1
37,39,klasa 1
36,46,klasa 1
36,54,klasa 1
45,59,klasa 1
43,43,klasa 1
41,57,klasa 1
36,58,klasa 1
33,48,klasa 1
41,46,klasa 1
43,53,klasa 1
38,50,klasa 1
42,43,klasa 1
41,47,klasa 1
38,47,klasa 1
44,40,klasa 1
24,46,klasa 1
30,43,klasa 1
25,84,klasa 2
34,117,klasa 2
35,100,klasa 2
14,84,klasa 2
14,79,klasa 2
33,3,klasa 2
24,10,klasa 2
18,21,klasa 2
13,24,klasa 2
8,17,klasa 2
15,12,klasa 2
16,8,klasa 2
26,8,klasa 2
22,12,klasa 2
21,12,klasa 2
15,15,klasa 2
14,15,klasa 2
6,24,klasa 2
2,28,klasa 2
5,18,klasa 2
5,7,klasa 2
7,41,klasa 2
11,41,klasa 2
10,35,klasa 2
14,41,klasa 2
10,56,klasa 2
10,62,klasa 2
12,67,klasa 2
13,73,klasa 2
17,83,klasa 2
7,86,klasa 2
11,82,klasa 2
7,96,klasa 2
9,92,klasa 2
8,84,klasa 2
6,79,klasa 2
4,77,klasa 2
4,76,klasa 2
3,70,klasa 2
3,80,klasa 2
6,73,klasa 2
7,72,klasa 2
5,65,klasa 2
6,60,klasa 2
7,50,klasa 2
7,37,klasa 2
7,46,klasa 2
7,46,klasa 2
6,51,klasa 2
6,55,klasa 2
6,57,klasa 2
4,64,klasa 2
2,69,klasa 2
6,67,klasa 2
4,63,klasa 2
3,61,klasa 2
6,52,klasa 2
7,38,klasa 2
4,45,klasa 2
3,53,klasa 2
4,53,klasa 2
5,46,klasa 2
3,39,klasa 2
3,36,klasa 2
4,30,klasa 2
7,25,klasa 2
11,21,klasa 2
12,23,klasa 2
8,22,klasa 2
12,17,klasa 2
96,56,klasa 3
98,67,klasa 3
79,51,klasa 3
89,44,klasa 3
89,34,klasa 3
85,30,klasa 3
79,34,klasa 3
66,22,klasa 3
71,22,klasa 3
77,25,klasa 3
75,14,klasa 3
77,10,klasa 3
78,11,klasa 3
85,20,klasa 3
92,19,klasa 3
97,8,klasa 3
95,6,klasa 3
91,6,klasa 3
91,4,klasa 3
87,3,klasa 3
83,7,klasa 3
80,6,klasa 3
80,12,klasa 3
82,16,klasa 3
88,25,klasa 3
93,29,klasa 3
93,32,klasa 3
92,35,klasa 3
85,34,klasa 3
93,17,klasa 3
92,17,klasa 3
90,20,klasa 3
92,23,klasa 3
94,19,klasa 3
95,17,klasa 3
96,18,klasa 3
95,21,klasa 3
87,18,klasa 3
83,8,klasa 3
85,15,klasa 3
89,20,klasa 3
88,19,klasa 3
87,12,klasa 3
88,9,klasa 3
97,9,klasa 3
94,14,klasa 3
91,13,klasa 3
92,9,klasa 3
89,4,klasa 3
93,0,klasa 3
93,2,klasa 3
94,9,klasa 3
97,22,klasa 3
95,29,klasa 3
92,38,klasa 3
98,44,klasa 3
94,49,klasa 3
95,37,klasa 3
90,20,klasa 3
89,14,klasa 3
85,5,klasa 3
80,6,klasa 3
66,14,klasa 3
76,34,klasa 3
80,50,klasa 3
86,69,klasa 3
83,83,klasa 3
74,70,klasa 3
70,44,klasa 3
57,20,klasa 3
80,18,klasa 3
83,22,klasa 3
85,26,klasa 3
86,33,klasa 3
87,47,klasa 3
89,52,klasa 3
91,61,klasa 3
92,73,klasa 3
94,85,klasa 3
95,91,klasa 3
41,96,klasa 1
18,76,klasa 1
32,71,klasa 1
50,63,klasa 1
45,29,klasa 1
52,24,klasa 1
33,30,klasa 1
36,22,klasa 1
26,56,klasa 1
26,53,klasa 1
28,41,klasa 1
57,65,klasa 1
61,60,klasa 1
57,54,klasa 1
54,49,klasa 1
52,41,klasa 1
54,31,klasa 1
50,23,klasa 1
45,22,klasa 1
38,29,klasa 1
33,39,klasa 1
43,48,klasa 1
46,47,klasa 1
50,56,klasa 1
43,66,klasa 1
35,65,klasa 1
39,55,klasa 1
48,39,klasa 1
42,37,klasa 1
39,41,klasa 1
32,49,klasa 1
31,58,klasa 1
43,62,klasa 1
50,69,klasa 1
60,73,klasa 1
8,27,klasa 2
12,16,klasa 2
15,7,klasa 2
20,2,klasa 2
28,14,klasa 2
47,3,klasa 2
64,0,klasa 2
56,1,klasa 2
50,8,klasa 2
44,10,klasa 2
39,16,klasa 2
29,18,klasa 2
25,27,klasa 2
19,29,klasa 2
24,18,klasa 2
35,6,klasa 2
29,10,klasa 2
6,12,klasa 2
3,20,klasa 2
9,18,klasa 2
18,17,klasa 2
22,8,klasa 2
11,9,klasa 2
10,36,klasa 2
15,38,klasa 2
11,33,klasa 2
11,28,klasa 2
5,31,klasa 2
6,34,klasa 2
11,50,klasa 2
2,61,klasa 2
6,51,klasa 2
12,29,klasa 2
19,29,klasa 2
16,52,klasa 2
16,55,klasa 2
15,64,klasa 2
8,61,klasa 2
7,78,klasa 2
10,82,klasa 2
13,75,klasa 2
4,82,klasa 2
52,93,klasa 2
37,84,klasa 2
49,84,klasa 2
56,93,klasa 2
16,90,klasa 2
19,86,klasa 2
26,78,klasa 2
23,91,klasa 2
13,75,klasa 2
24,75,klasa 2
26,92,klasa 2
32,90,klasa 2
37,81,klasa 2
41,91,klasa 2
59,87,klasa 2
79,94,klasa 2
